temperature,humidity,gsr,pulse,label
24.5,80.0,0,2747,rahat
24.5,80.0,272,0,stresli
24.5,80.0,0,2135,stresli
24.1,77.0,289,1924,stresli
24.1,77.0,0,1954,stresli
24.1,77.0,267,2512,stresli
24.1,77.0,0,2450,stresli
24.1,77.0,275,2941,stresli
24.1,77.0,0,2722,stresli
24.1,77.0,272,2928,stresli
24.1,77.0,0,2916,stresli
24.5,79.0,272,2992,stresli
24.5,79.0,8,2802,stresli
24.5,80.0,257,2666,stresli
24.5,80.0,0,2843,stresli
24.5,81.0,258,2688,stresli
24.5,81.0,0,2899,stresli
24.8,82.0,259,2958,stresli
24.8,82.0,0,2935,stresli
24.8,83.0,277,2927,stresli
24.8,83.0,9,2871,stresli
24.8,84.0,274,2846,stresli
24.8,84.0,1,2719,stresli
25.3,85.0,264,2559,stresli
25.3,85.0,0,2699,stresli
25.3,85.0,263,2692,stresli
25.3,85.0,0,2714,stresli
25.6,86.0,271,2741,stresli
25.6,86.0,0,2704,stresli
25.8,87.0,281,2721,stresli
25.8,87.0,0,2719,stresli
25.8,88.0,262,2731,stresli
25.8,88.0,0,2735,stresli
25.8,88.0,260,2752,stresli
25.8,88.0,0,2758,stresli
26.2,89.0,268,2789,stresli
26.2,89.0,0,2818,stresli
26.2,89.0,267,2800,stresli
26.2,89.0,0,2810,stresli
26.2,89.0,276,2819,stresli
26.2,89.0,5,2877,stresli
26.3,89.0,263,2879,stresli
26.3,89.0,0,2896,stresli
26.7,89.0,249,2875,stresli
26.7,89.0,0,2867,stresli
26.7,90.0,254,2859,stresli
26.7,90.0,0,2915,stresli
26.7,90.0,260,2918,stresli
26.7,90.0,0,2900,stresli
26.7,90.0,272,2886,stresli
26.7,90.0,9,2875,stresli
27.1,90.0,270,2914,stresli
27.1,90.0,8,2959,stresli
27.1,90.0,260,2928,stresli
27.1,90.0,0,2995,stresli
27.1,90.0,257,2922,stresli
27.1,90.0,0,2966,stresli
27.1,90.0,271,2884,stresli
27.1,90.0,0,2911,stresli
27.1,91.0,281,2938,stresli
27.1,91.0,10,2960,stresli
28.5,98.0,199,1923,rahat
28.5,98.0,114,1911,rahat
28.5,98.0,340,2685,rahat
28.5,98.0,0,1344,rahat
28.5,98.0,312,2550,rahat
28.5,98.0,0,1690,rahat
28.5,98.0,304,1872,rahat
28.5,98.0,0,1920,rahat
28.5,98.0,332,2207,rahat
28.5,98.0,0,2055,rahat
28.5,98.0,294,2879,rahat
28.5,98.0,0,3201,rahat
28.5,98.0,291,2471,rahat
28.5,98.0,4,2795,rahat
28.5,98.0,717,3172,rahat
28.5,98.0,31,1904,rahat
28.5,98.0,293,1945,rahat
28.5,98.0,0,1895,rahat
28.5,98.0,273,1967,rahat
28.5,98.0,0,2065,rahat
28.5,98.0,291,1872,rahat
28.5,98.0,0,1917,rahat
28.5,98.0,286,1959,rahat
28.5,98.0,0,2121,rahat
28.5,98.0,307,2017,rahat
28.5,98.0,0,1911,rahat
28.5,98.0,298,1935,rahat
28.5,98.0,0,1824,rahat
28.5,98.0,302,1730,rahat
28.5,98.0,0,1903,rahat
28.9,98.0,290,1874,rahat
28.9,98.0,0,1890,rahat
28.9,98.0,285,1850,rahat
28.9,98.0,0,1955,rahat
28.9,98.0,269,1922,rahat
28.9,98.0,259,2058,rahat
28.9,98.0,279,1883,rahat
28.9,98.0,0,1924,rahat
28.9,98.0,274,1859,rahat
28.9,98.0,0,1865,rahat
28.9,98.0,320,1874,rahat
28.9,98.0,0,1881,rahat
28.9,98.0,256,1876,rahat
28.9,98.0,174,1970,rahat
28.9,98.0,400,1914,rahat
28.9,98.0,429,1901,rahat
28.9,98.0,286,1922,rahat
28.9,98.0,0,1786,rahat
28.9,98.0,277,1863,rahat
28.9,98.0,0,1939,rahat
28.9,98.0,444,1884,rahat
28.9,98.0,0,1890,rahat
28.9,98.0,557,1881,rahat
28.9,98.0,0,1887,rahat
28.9,98.0,253,1878,rahat
28.9,98.0,0,1939,rahat
28.9,98.0,270,1904,rahat
28.9,98.0,0,1838,rahat
28.9,98.0,305,2022,rahat
28.9,98.0,0,1936,rahat
28.9,98.0,288,1997,stresli
28.9,98.0,0,1951,stresli
28.9,98.0,269,1473,stresli
28.9,98.0,0,1894,stresli
28.9,98.0,285,2115,stresli
28.9,98.0,27,4095,stresli
28.9,98.0,364,4095,stresli
28.9,98.0,0,3234,stresli
28.9,98.0,325,1744,stresli
28.9,98.0,5,2615,stresli
28.9,98.0,303,2059,stresli
28.9,98.0,0,2196,stresli
28.9,98.0,304,2214,stresli
28.9,98.0,0,2288,stresli
28.9,98.0,291,2100,stresli
28.9,98.0,0,1931,stresli
28.9,98.0,295,1890,stresli
28.9,98.0,0,1754,stresli
28.9,98.0,304,2142,stresli
28.9,98.0,0,1807,stresli
28.9,98.0,327,2448,stresli
28.9,98.0,6,845,stresli
28.9,98.0,271,0,stresli
28.9,98.0,16,4095,stresli
28.9,98.0,286,3737,stresli
28.9,98.0,80,3737,stresli
28.9,98.0,304,3695,stresli
28.9,98.0,0,3465,stresli
28.9,98.0,322,3132,stresli
28.9,98.0,3,3293,stresli
28.6,98.0,321,3511,stresli
28.6,98.0,0,3563,stresli
28.5,98.0,326,3629,stresli
28.5,98.0,16,3668,stresli
28.5,98.0,331,3611,stresli
28.5,98.0,15,3717,stresli
28.5,98.0,324,3765,stresli
28.5,98.0,15,3757,stresli
28.5,98.0,319,3677,stresli
28.5,98.0,18,3663,stresli
28.5,98.0,325,3679,stresli
28.5,98.0,12,3639,stresli
28.5,98.0,320,3627,stresli
28.5,98.0,11,3619,stresli
28.5,98.0,330,3600,stresli
28.5,98.0,14,3546,stresli
28.5,98.0,318,3497,stresli
28.5,98.0,10,3504,stresli
28.5,98.0,320,3468,stresli
28.5,98.0,16,3429,stresli
28.5,98.0,319,3413,stresli
28.5,98.0,14,3439,stresli
28.5,98.0,314,3437,stresli
28.5,98.0,10,3421,stresli
28.5,98.0,311,3410,stresli
28.5,98.0,17,3419,stresli
28.5,98.0,320,3356,stresli
28.5,98.0,5,3387,stresli
28.5,98.0,314,3411,stresli
28.5,98.0,6,3437,stresli
28.5,98.0,318,3637,stresli
28.5,98.0,14,3598,stresli
28.5,96.0,321,3597,stresli
28.5,96.0,12,3564,stresli
28.5,98.0,314,3552,stresli
28.5,98.0,2,3520,stresli
28.5,98.0,325,3553,stresli
28.5,98.0,14,3503,stresli
28.5,98.0,315,3474,stresli
28.5,98.0,5,3472,stresli
28.5,98.0,318,3422,stresli
28.5,98.0,13,3441,stresli
28.5,98.0,321,3402,stresli
28.5,98.0,3,3377,stresli
28.5,98.0,317,3367,stresli
28.5,98.0,4,3347,stresli
28.5,98.0,316,3376,stresli
28.5,98.0,1,3427,stresli
28.5,98.0,315,3406,stresli
28.5,98.0,2,3451,stresli
28.5,98.0,317,3419,stresli
28.5,98.0,6,3405,stresli
28.5,98.0,305,3398,stresli
28.5,98.0,5,3369,stresli
28.5,98.0,320,3326,stresli
28.5,98.0,12,3317,stresli
28.5,96.0,319,3302,stresli
28.5,96.0,4,3277,stresli
28.5,96.0,314,3276,stresli
28.5,96.0,0,3267,stresli
28.5,96.0,317,3253,stresli
28.5,96.0,10,3222,stresli
28.5,96.0,307,3255,stresli
28.5,96.0,12,3287,stresli
28.5,96.0,329,3255,stresli
28.5,96.0,8,3248,stresli
28.5,96.0,321,3258,stresli
28.5,96.0,10,3239,stresli
28.5,96.0,311,3275,stresli
28.5,96.0,1,3271,stresli
28.5,96.0,309,3255,stresli
28.5,96.0,0,3248,stresli
28.5,95.0,318,3234,stresli
28.5,95.0,2,3258,stresli
28.5,95.0,318,3301,stresli
28.5,95.0,5,3150,stresli
28.5,95.0,320,3141,stresli
28.5,95.0,0,3136,stresli
28.5,95.0,311,3118,stresli
28.5,95.0,9,3131,stresli
28.5,95.0,304,3125,stresli
28.5,95.0,0,3158,stresli
28.5,95.0,318,3127,stresli
28.5,95.0,0,3143,stresli
28.5,95.0,309,3137,stresli
28.5,95.0,5,3139,stresli
28.5,95.0,321,3152,stresli
28.5,95.0,6,3090,stresli
28.5,95.0,307,3114,stresli
28.5,95.0,1,3071,stresli
27.6,62.0,240,3652,çok stresli
27.6,62.0,7,3046,çok stresli
27.6,62.0,322,3045,çok stresli
27.6,62.0,4,3087,çok stresli
27.6,61.0,318,3279,çok stresli
27.6,61.0,0,3033,çok stresli
27.6,60.0,309,3117,çok stresli
27.6,60.0,7,3232,çok stresli
27.6,62.0,303,3310,çok stresli
27.6,62.0,16,3434,çok stresli
27.6,63.0,315,3409,çok stresli
27.6,63.0,9,3426,çok stresli
27.6,64.0,314,3344,çok stresli
27.6,64.0,7,3367,çok stresli
27.6,66.0,309,3329,çok stresli
27.6,66.0,3,3398,çok stresli
27.6,68.0,313,3533,çok stresli
27.6,68.0,15,3601,çok stresli
27.6,69.0,315,3625,çok stresli
27.6,69.0,17,3706,çok stresli
27.6,69.0,310,3614,çok stresli
27.6,69.0,17,3759,çok stresli
27.6,70.0,320,3763,çok stresli
27.6,70.0,11,3718,çok stresli
27.6,71.0,318,3682,çok stresli
27.6,71.0,5,3695,çok stresli
27.8,72.0,313,3696,çok stresli
27.8,72.0,16,3749,çok stresli
28.0,71.0,317,3699,çok stresli
28.0,71.0,7,3738,çok stresli
28.0,72.0,323,3732,çok stresli
28.0,72.0,16,3735,çok stresli
28.0,72.0,324,3702,çok stresli
28.0,72.0,15,3749,çok stresli
28.0,73.0,317,3830,çok stresli
28.0,73.0,10,3787,çok stresli
28.0,74.0,317,3765,çok stresli
28.0,74.0,16,3957,çok stresli
28.0,74.0,323,3826,çok stresli
28.0,74.0,7,3822,çok stresli
28.0,75.0,321,4059,çok stresli
28.0,75.0,17,3986,çok stresli
28.0,76.0,323,4011,çok stresli
28.0,76.0,16,4025,çok stresli
28.0,76.0,330,4094,çok stresli
28.0,76.0,14,4095,çok stresli
28.0,76.0,323,4081,çok stresli
28.0,76.0,12,4090,çok stresli
28.0,77.0,320,4086,çok stresli
28.0,77.0,14,4095,çok stresli
28.0,77.0,323,4095,çok stresli
28.0,77.0,22,4095,çok stresli
28.0,78.0,323,4095,çok stresli
28.0,78.0,16,4095,çok stresli
28.0,78.0,320,4093,çok stresli
28.0,78.0,16,4095,çok stresli
28.0,79.0,328,4091,çok stresli
28.0,79.0,12,4092,çok stresli
28.0,79.0,320,4082,çok stresli
28.0,79.0,17,3939,çok stresli
24.1,53.0,258,3941,çok stresli
24.1,53.0,48,3869,çok stresli
24.1,53.0,291,3984,çok stresli
24.1,53.0,17,4004,çok stresli
24.1,56.0,304,3996,çok stresli
24.1,56.0,18,3963,çok stresli
24.1,59.0,303,4034,çok stresli
24.1,59.0,25,4037,çok stresli
24.1,63.0,304,4051,çok stresli
24.1,63.0,16,4048,çok stresli
24.1,65.0,299,4059,çok stresli
24.1,65.0,22,4068,çok stresli
24.1,68.0,242,1889,çok stresli
24.1,68.0,31,3952,çok stresli
24.2,70.0,291,3188,çok stresli
24.2,70.0,0,3450,çok stresli
24.5,71.0,283,3163,çok stresli
24.5,71.0,3,3234,çok stresli
24.5,73.0,278,3210,çok stresli
24.5,73.0,17,3233,çok stresli
24.5,73.0,277,3148,çok stresli
24.5,73.0,10,3142,çok stresli
24.5,75.0,289,3223,çok stresli
24.5,75.0,0,2460,çok stresli
24.5,76.0,298,4048,çok stresli
24.5,76.0,29,4048,çok stresli
24.5,77.0,305,4054,çok stresli
24.5,77.0,16,4038,çok stresli
24.5,78.0,297,4034,çok stresli
24.5,78.0,18,4033,çok stresli
24.5,79.0,300,4039,çok stresli
24.5,79.0,16,4029,çok stresli
24.5,80.0,298,4035,çok stresli
24.5,80.0,26,4047,çok stresli
24.5,81.0,295,4058,çok stresli
24.5,81.0,17,4062,çok stresli
24.5,81.0,302,4063,çok stresli
24.5,81.0,13,4053,çok stresli
24.5,81.0,304,4055,çok stresli
24.5,81.0,17,4064,çok stresli
24.5,83.0,303,4057,çok stresli
24.5,83.0,21,4055,çok stresli
24.5,84.0,288,4055,çok stresli
24.5,84.0,16,4058,çok stresli
24.5,84.0,294,4045,çok stresli
24.5,84.0,16,4059,çok stresli
24.5,85.0,300,4050,çok stresli
24.5,85.0,17,4062,çok stresli
24.5,85.0,301,4060,çok stresli
24.5,85.0,16,4070,çok stresli
24.5,86.0,301,4065,çok stresli
24.5,86.0,21,4063,çok stresli
24.5,86.0,301,4061,çok stresli
24.5,86.0,19,4051,çok stresli
24.5,87.0,290,4048,çok stresli
24.5,87.0,19,4052,çok stresli
24.6,88.0,306,4060,çok stresli
24.6,88.0,22,4059,çok stresli
24.8,88.0,303,4071,çok stresli
24.8,88.0,19,4064,çok stresli
24.8,89.0,336,4079,çok stresli
24.8,89.0,0,2005,çok stresli
24.5,68.0,331,4074,çok stresli
24.5,68.0,0,0,çok stresli
24.5,67.0,340,2611,çok stresli
24.5,67.0,27,4077,çok stresli
24.5,66.0,320,4055,çok stresli
24.5,66.0,21,4047,çok stresli
24.5,67.0,329,4071,çok stresli
24.5,67.0,17,4067,çok stresli
24.5,69.0,324,4068,çok stresli
24.5,69.0,23,4063,çok stresli
24.5,71.0,324,4067,çok stresli
24.5,71.0,26,4055,çok stresli
24.5,72.0,323,4065,çok stresli
24.5,72.0,22,4063,çok stresli
24.5,73.0,320,4064,çok stresli
24.5,73.0,17,4058,çok stresli
24.5,74.0,320,4058,çok stresli
24.5,74.0,16,4069,çok stresli
24.5,76.0,326,4063,çok stresli
24.5,76.0,29,4065,çok stresli
24.5,77.0,329,4065,çok stresli
24.5,77.0,32,4075,çok stresli
24.5,78.0,318,4079,çok stresli
24.5,78.0,25,4069,çok stresli
24.5,79.0,324,4087,çok stresli
24.5,79.0,20,4085,çok stresli
24.5,80.0,320,4080,çok stresli
24.5,80.0,27,4067,çok stresli
24.5,81.0,319,4074,çok stresli
24.5,81.0,16,4077,çok stresli
24.5,81.0,326,4080,çok stresli
24.5,81.0,17,4080,çok stresli
24.5,82.0,322,4077,çok stresli
24.5,82.0,26,4076,çok stresli
24.5,83.0,320,4074,çok stresli
24.5,83.0,26,4080,çok stresli
24.5,84.0,320,4071,çok stresli
24.5,84.0,21,4076,çok stresli
24.5,84.0,320,4064,çok stresli
24.5,84.0,19,4069,çok stresli
24.5,85.0,338,4073,çok stresli
24.5,85.0,16,4081,çok stresli
24.5,85.0,321,4075,çok stresli
24.5,85.0,23,4080,çok stresli
24.5,85.0,323,4079,çok stresli
24.5,85.0,17,4062,çok stresli
24.5,86.0,311,4076,çok stresli
24.5,86.0,21,4075,çok stresli
24.5,86.0,319,4063,çok stresli
24.5,86.0,17,4075,çok stresli
24.5,87.0,321,4062,çok stresli
24.5,87.0,19,4071,çok stresli
24.5,88.0,320,4082,çok stresli
24.5,88.0,24,4069,çok stresli
24.5,88.0,317,4074,çok stresli
24.5,88.0,22,4073,çok stresli
24.5,89.0,326,4080,çok stresli
24.5,89.0,16,4077,çok stresli
24.5,89.0,336,3905,çok stresli
24.5,89.0,3,3643,çok stresli
24.1,70.0,325,3701,çok stresli
24.1,70.0,5,3802,çok stresli
24.1,69.0,313,3934,çok stresli
24.1,69.0,0,3669,çok stresli
24.1,71.0,335,3837,çok stresli
24.1,71.0,1,3228,çok stresli
24.1,71.0,331,3879,çok stresli
24.1,71.0,21,4023,çok stresli
24.1,71.0,314,4020,çok stresli
24.1,71.0,23,3985,çok stresli
24.1,73.0,319,4012,çok stresli
24.1,73.0,18,4027,çok stresli
24.1,73.0,309,4023,çok stresli
24.1,73.0,20,4013,çok stresli
24.1,75.0,308,4028,çok stresli
24.1,75.0,22,4025,çok stresli
24.1,76.0,311,4019,çok stresli
24.1,76.0,16,4016,çok stresli
24.1,77.0,309,4032,çok stresli
24.1,77.0,17,4027,çok stresli
24.1,78.0,315,4016,çok stresli
24.1,78.0,16,4032,çok stresli
24.1,79.0,302,4022,çok stresli
24.1,79.0,16,4027,çok stresli
24.1,80.0,304,3959,çok stresli
24.1,80.0,16,4059,çok stresli
24.1,81.0,311,4052,çok stresli
24.1,81.0,15,4049,çok stresli
24.1,81.0,310,4044,çok stresli
24.1,81.0,16,4059,çok stresli
24.1,82.0,301,4048,çok stresli
24.1,82.0,19,4046,çok stresli
24.1,83.0,304,4048,çok stresli
24.1,83.0,16,4057,çok stresli
24.1,84.0,304,4056,çok stresli
24.1,84.0,10,4053,çok stresli
24.1,84.0,304,4046,çok stresli
24.1,84.0,16,4053,çok stresli
24.1,85.0,304,4054,çok stresli
24.1,85.0,21,4058,çok stresli
24.1,85.0,317,4063,çok stresli
24.1,85.0,19,4065,çok stresli
24.1,85.0,315,4062,çok stresli
24.1,85.0,15,4059,çok stresli
24.1,86.0,320,4058,çok stresli
24.1,86.0,21,4050,çok stresli
24.1,86.0,305,4062,çok stresli
24.1,86.0,13,4059,çok stresli
24.1,87.0,299,4061,çok stresli
24.1,87.0,13,4049,çok stresli
24.1,88.0,302,4048,çok stresli
24.1,88.0,21,4052,çok stresli
24.1,88.0,294,4060,çok stresli
24.1,88.0,23,4053,çok stresli
24.1,89.0,294,4050,çok stresli
24.1,89.0,21,4067,çok stresli
24.1,89.0,295,4058,çok stresli
24.1,89.0,16,4063,çok stresli
23.8,56.0,240,1930,çok stresli
23.8,56.0,23,4075,çok stresli
23.8,56.0,339,4069,çok stresli
23.8,56.0,21,4070,çok stresli
23.8,56.0,336,4078,çok stresli
23.8,56.0,16,4047,çok stresli
23.8,56.0,335,4044,çok stresli
23.8,56.0,16,4048,çok stresli
23.8,56.0,338,4051,çok stresli
23.8,56.0,21,4041,çok stresli
23.8,56.0,336,4046,çok stresli
23.8,56.0,17,4045,çok stresli
